表4-1  科系別學生人數統計(依據102/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
102,8,國立中央大學,,,TOTAL,全校班級,12057,8280,3777,2425,1177,2404,1113,1548,673,1276,637,349,99,159,47,109,30,10,1,239,79
102,8,國立中央大學,D,1,SUBT1,學士班           共計,6119,4070,2049,928,542,1028,501,1000,460,954,492,136,46,23,8,1,0,0,0,160,54
102,8,國立中央大學,D,B,220201,    中國文學系,235,45,190,10,47,13,44,11,42,9,46,2,9,0,2,0,0,0,0,2,11
102,8,國立中央大學,D,B,220310,    英美語文學系,245,51,194,10,51,19,42,14,47,5,45,3,8,0,1,0,0,0,0,3,9
102,8,國立中央大學,D,B,220314,    法國語文學系,211,45,166,13,38,2,48,13,39,15,34,2,6,0,1,0,0,0,0,2,7
102,8,國立中央大學,D,B,460101,    數學系,299,243,56,63,12,63,15,48,16,51,11,16,2,2,0,0,0,0,0,18,2
102,8,國立中央大學,D,B,440301,    物理學系,228,207,21,45,8,56,4,45,4,53,5,7,0,1,0,0,0,0,0,8,0
102,8,國立中央大學,D,B,440101,    化學學系,177,122,55,21,19,38,9,28,15,30,11,2,1,3,0,0,0,0,0,5,1
102,8,國立中央大學,D,B,420103,    生命科學系,169,106,63,31,13,25,17,28,13,18,18,4,2,0,0,0,0,0,0,4,2
102,8,國立中央大學,D,B,520106,    光電科學與工程學系,164,133,31,29,8,32,9,35,7,29,5,7,1,0,1,1,0,0,0,8,2
102,8,國立中央大學,D,B,449999,    理學院學士班,87,72,15,12,6,18,5,22,1,18,2,2,1,0,0,0,0,0,0,2,1
102,8,國立中央大學,D,B,520301,    土木工程學系,430,361,69,77,22,94,11,93,17,78,18,14,1,5,0,0,0,0,0,19,1
102,8,國立中央大學,D,B,520201,    機械工程學系,643,592,51,135,15,149,11,136,12,150,10,17,2,5,1,0,0,0,0,22,3
102,8,國立中央大學,D,B,520403,    化學工程與材料工程學系,227,159,68,36,14,41,16,40,22,41,16,1,0,0,0,0,0,0,0,1,0
102,8,國立中央大學,D,B,340301,    企業管理學系,448,185,263,40,70,40,69,57,50,42,69,6,4,0,1,0,0,0,0,6,5
102,8,國立中央大學,D,B,480109,    資訊管理學系,416,239,177,53,47,55,46,57,43,65,38,8,2,1,1,0,0,0,0,9,3
102,8,國立中央大學,D,B,340501,    財務金融學系,247,103,144,26,32,27,36,25,37,23,39,2,0,0,0,0,0,0,0,2,0
102,8,國立中央大學,D,B,310101,    經濟學系,261,124,137,29,30,33,34,32,34,27,36,3,3,0,0,0,0,0,0,3,3
102,8,國立中央大學,D,B,520101,    電機工程學系,433,386,47,86,13,94,14,95,9,95,11,15,0,1,0,0,0,0,0,16,0
102,8,國立中央大學,D,B,520114,    資訊工程學系,441,358,83,97,15,89,23,85,13,78,31,7,1,2,0,0,0,0,0,9,1
102,8,國立中央大學,D,B,520126,    通訊工程學系,218,172,46,38,15,50,6,40,11,39,14,5,0,0,0,0,0,0,0,5,0
102,8,國立中央大學,D,B,440401,    大氣科學學系,297,216,81,44,27,54,21,55,17,56,14,5,2,2,0,0,0,0,0,7,2
102,8,國立中央大學,D,B,440201,    地球科學學系,226,150,76,32,24,36,21,41,11,32,19,8,1,1,0,0,0,0,0,9,1
102,8,國立中央大學,D,B,311025,    客家語文暨社會科學學系,17,1,16,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,2,SUBT2,碩士班           共計,3288,2289,999,1020,408,917,397,268,111,83,81,1,2,0,0,0,0,0,0,1,2
102,8,國立中央大學,D,M,449904,    遙測科技碩士學位學程,24,20,4,9,0,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,220201,    中國文學系碩士班,53,18,35,4,9,4,9,6,8,4,9,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,220310,    英美語文學系碩士班,47,11,36,3,6,2,7,4,6,2,17,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,220314,    法國語文學系碩士班,22,6,16,0,4,4,2,0,5,2,5,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,221101,    哲學研究所碩士班,29,15,14,5,3,4,2,2,6,4,3,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,220901,    歷史研究所碩士班,49,33,16,7,4,6,5,8,4,11,3,1,0,0,0,0,0,0,0,1,0
102,8,國立中央大學,D,M,210701,    藝術學研究所碩士班,47,8,39,1,10,2,8,4,7,1,14,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,140111,    學習與教學研究所碩士班,25,2,23,2,10,0,8,0,4,0,1,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,220201,    中國文學系戲曲碩士班,10,4,6,1,1,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,229916,    亞際文化研究國際碩士學位學程,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,460101,    數學系碩士班,57,44,13,14,5,20,6,9,2,1,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,440301,    物理學系碩士班,83,68,15,24,5,26,6,12,2,6,2,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,440101,    化學學系碩士班,115,72,43,39,21,32,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,420103,    生命科學系碩士班,72,52,20,25,2,11,11,10,4,6,3,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,460201,    統計研究所碩士班,45,28,17,12,10,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520106,    光電科學與工程學系碩士班,127,116,11,52,6,43,4,19,1,2,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,440601,    天文研究所碩士班,15,7,8,5,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,440301,    物理學系生物物理碩士班,17,13,4,4,3,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520106,    光電科學與工程學系照明與顯示科技碩士班,31,24,7,8,3,9,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,420604,    系統生物與生物資訊研究所碩士班,18,12,6,8,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,310510,    認知神經科學研究所碩士班,22,6,16,3,4,3,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520301,    土木工程學系碩士班,216,179,37,78,19,70,17,23,0,8,1,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520201,    機械工程學系碩士班,223,209,14,97,5,88,8,19,0,5,1,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520403,    化學工程與材料工程學系碩士班,132,96,36,50,16,41,19,4,1,1,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,349927,    營建管理研究所碩士班,29,20,9,11,4,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520901,    環境工程研究所碩士班,65,36,29,11,16,11,9,13,4,1,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520201,    機械工程學系光機電工程碩士班,47,42,5,20,2,15,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,521309,    能源工程研究所碩士班,47,42,5,20,1,17,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520502,    材料科學與工程研究所碩士班,39,28,11,16,6,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,521108,    生物醫學工程研究所碩士班,37,30,7,11,4,12,2,5,0,2,1,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520527,    應用材料科學國際研究生碩士學位學程,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,340301,    企業管理學系碩士班,139,67,72,29,40,33,26,4,6,1,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,480109,    資訊管理學系碩士班,113,66,47,34,21,30,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,310104,    產業經濟研究所碩士班,59,30,29,11,14,13,11,2,3,4,1,0,0,0,0,0,0,0,0,0,0
